No.,Name,Position,Date of Birth (Age),Signed from,Notes
24,Marcos Aguirre,MF,"March 30, 1984 (age 30)",San Martín (San Juan),In on 12 January 2012
25,Jorge Bava,GK,"January 22, 1982 (age 32)",Cerro,In on 13 January 2012
–,Rodrigo Muñoz,GK,"January 22, 1982 (age 32)",Cerro,Out on 10 January 2012
–,Diego Barboza,DF,"January 9, 1991 (age 23)",The Academy,Reserve team player
–,Sebastián Coates,DF,"October 7, 1990 (age 23)",The Academy,Out on 26 August 2011
–,Gabriel Marques,DF,"March 31, 1983 (age 31)",River Plate,Out on 29 December 2011
–,Gonzalo Godoy,DF,"January 17, 1988 (age 26)",Cerro,Out on 5 January 2012
–,Sebastián Gorga,DF,"April 6, 1994 (age 20)",The Academy,Reserve team player
–,Maximiliano Moreira,DF,"June 11, 1994 (age 20)",The Academy,Reserve team player
–,Nicolás Olivera,DF,"February 17, 1993 (age 21)",The Academy,Reserve team player
–,Fernando Poclaba,DF,"January 23, 1990 (age 24)",Racing,Out on 31 December 2012
