No.,Name,Position,Date of Birth (Age),Signed from,Notes
13,Pablo Álvarez,DF,"February 7, 1985 (age 29)",Panserraikos,In on 3 January 2012
14,Diego Placente,DF,"April 24, 1977 (age 37)",San Lorenzo,
15,Gonzalo Bueno,FW,"September 1, 1991 (age 22)",The Academy,
16,Mathías Abero,DF,"April 9, 1990 (age 24)",Racing,
17,Maximiliano Calzada,MF,"April 21, 1990 (age 24)",The Academy,
18,Israel Damonte,MF,"January 6, 1982 (age 32)",Godoy Cruz,In on 19 January 2012
19,Andrés Scotti,DF,"December 14, 1975 (age 38)",Colo-Colo,In on 3 January 2012
20,Álvaro Recoba,MF,"March 17, 1976 (age 38)",Danubio,Vice-captain
21,Matías Vecino,MF,"August 24, 1991 (age 22)",Central Español,
22,Joaquín Boghossian,FW,"June 19, 1987 (age 27)",Red Bull Salzburg,
23,Facundo Píriz,MF,"March 27, 1990 (age 24)",The Academy,
