No.,Name,Position,Date of Birth (Age),Signed from,Notes,Filler_1
–,Gonzalo Vega,MF,"June 29, 1992 (age 21)",The Academy,Reserve team player,wXyIfV
–,Leandro Barcia,FW,"October 8, 1993 (age 20)",The Academy,Reserve team player,fHhhHh
–,Lucas Cavallini,FW,"December 28, 1992 (age 21)",The Academy,Reserve team player,rUzpyMe
–,Renato César,FW,"April 8, 1993 (age 20)",The Academy,,myUgz
–,Jonathan Charquero,FW,"February 21, 1989 (age 25)",Montevideo Wanderers,Out on 27 December 2011,PyuzknYV
–,Sergio Cortelezzi,FW,"September 9, 1994 (age 19)",The Academy,Reserve team player,eevlmt
–,Richard Porta,FW,"January 8, 1985 (age 29)",Al Wasl,"Out on 14 October 2011In on 9 January, 2012",UJQnjWG
–,Nicolás López,FW,"September 9, 1993 (age 20)",The Academy,On 22 August 2011 he escaped with his representantPablo Bentancur and his family to Italy,oeQFITk
–,Renzo López,FW,"April 16, 1994 (age 20)",The Academy,Reserve team player,Fnlxz
–,Juan Cruz Mascia,FW,"January 3, 1994 (age 20)",Miramar Misiones,In on 19 January 2012,qesyUPm
–,Rodrigo Roque,FW,"May 3, 1991 (age 23)",The Academy,Reserve team player,KolxyVmT
