County,Feinstein,Votes,Seymour,Votes,Horne,Votes,Meeu.,Votes,Boddie,Votes,W/I,V's,Irrelevant_1
Sierra,45.12%,818,44.57%,808,2.48%,45,3.47%,63,4.36%,79,0.00%,0,3f1UR4a5
Mono,45.11%,"1,931",44.64%,"1,911",2.83%,121,3.95%,169,3.48%,149,0.00%,0,cSHcD9xJ
Fresno,45.07%,"94,988",48.48%,"102,172",2.32%,"4,888",2.25%,"4,740",1.88%,"3,959",0.00%,4,HO7FPI
Butte,44.72%,"37,396",45.57%,"38,111",2.96%,"2,477",3.56%,"2,980",3.19%,"2,666",0.00%,0,oGFxq1C8
Riverside,44.56%,"187,548",45.44%,"191,258",3.52%,"14,808",3.95%,"16,632",2.54%,"10,689",0.00%,0,MlD2wA5
Siskiyou,44.35%,"8,963",45.42%,"9,180",2.34%,473,5.16%,"1,043",2.73%,551,0.00%,0,7Q3Zn1
San Bernardino,44.35%,"200,979",45.67%,"206,969",3.64%,"16,511",3.71%,"16,804",2.61%,"11,825",0.01%,48,o7RycK
Trinity,42.41%,"2,743",43.66%,"2,824",3.80%,246,6.29%,407,3.83%,248,0.00%,0,PUCJ3X
Yuba,40.76%,"6,890",46.63%,"7,882",3.07%,518,6.09%,"1,030",3.45%,584,0.00%,0,FaUhyp
Kings,40.70%,"9,805",50.29%,"12,115",3.74%,901,3.57%,860,1.70%,410,0.00%,0,EBVQn
Lassen,40.39%,"4,005",47.64%,"4,724",3.29%,326,5.59%,554,3.10%,307,0.00%,0,ZQLm0S
