County,Feinstein,Votes,Seymour,Votes,Horne,Votes,Meeu.,Votes,Boddie,Votes,W/I,V's
Amador,48.29%,"7,319",42.64%,"6,463",2.40%,364,4.07%,617,2.60%,394,0.00%,0
Alpine,47.91%,287,42.07%,252,3.01%,18,4.51%,27,2.50%,15,0.00%,0
Merced,47.61%,"22,010",43.79%,"20,246",2.79%,"1,289",2.95%,"1,365",2.86%,"1,323",0.00%,0
San L. Obispo,47.47%,"48,376",43.94%,"44,775",2.54%,"2,587",3.08%,"3,134",2.97%,"3,030",0.00%,0
San Diego,46.97%,"442,855",43.63%,"411,362",3.21%,"30,287",3.09%,"29,149",3.10%,"29,212",0.00%,3
Calaveras,46.64%,"7,839",42.00%,"7,059",2.32%,390,5.38%,905,3.65%,614,0.00%,0
Plumas,46.44%,"4,647",43.64%,"4,367",2.30%,230,4.53%,453,3.10%,310,0.00%,0
Nevada,46.04%,"20,044",44.73%,"19,476",2.90%,"1,261",3.32%,"1,444",3.02%,"1,313",0.00%,0
Placer,45.75%,"40,511",45.73%,"40,497",2.38%,"2,109",3.30%,"2,920",2.84%,"2,518",0.00%,0
Mariposa,45.38%,"3,681",43.98%,"3,568",3.09%,251,5.07%,411,2.48%,201,0.00%,0
El Dorado,45.34%,"28,957",45.56%,"29,101",2.37%,"1,512",3.80%,"2,427",2.93%,"1,873",0.00%,0
Ventura,45.30%,"119,366",46.32%,"122,064",2.72%,"7,167",3.04%,"8,019",2.61%,"6,882",0.00%,1
