County,Feinstein,Votes,Seymour,Votes,Horne,Votes,Meeu.,Votes,Boddie,Votes,W/I,V's
San Francisco,80.60%,"250,972",15.79%,"49,165",1.63%,"5,062",0.62%,"1,919",1.36%,"4,233",0.00%,10
Alameda,72.56%,"374,675",21.93%,"113,223",2.30%,"11,866",1.61%,"8,323",1.60%,"8,257",0.00%,23
Marin,71.26%,"92,205",24.61%,"31,846",1.45%,"1,880",0.88%,"1,142",1.80%,"2,328",0.00%,0
Santa Cruz,67.88%,"76,327",25.40%,"28,562",2.49%,"2,801",1.84%,"2,072",2.39%,"2,686",0.00%,1
San Mateo,67.25%,"181,990",27.89%,"75,470",1.84%,"4,983",1.29%,"3,478",1.73%,"4,684",0.00%,0
Contra Costa,62.96%,"229,988",31.62%,"115,507",1.92%,"7,011",1.77%,"6,470",1.73%,"6,320",0.00%,2
Sonoma,62.84%,"121,471",29.38%,"56,793",3.02%,"5,846",2.43%,"4,702",2.33%,"4,502",0.00%,0
Santa Clara,62.19%,"364,997",30.98%,"181,858",2.15%,"12,646",2.20%,"12,912",2.47%,"14,518",0.00%,2
Yolo,61.68%,"37,340",31.70%,"19,191",2.18%,"1,319",2.27%,"1,376",2.17%,"1,311",0.00%,1
Mendocino,60.59%,"22,000",30.28%,"10,993",3.55%,"1,290",2.86%,"1,039",2.72%,988,0.00%,0
Solano,59.83%,"77,739",32.30%,"41,970",2.75%,"3,571",2.84%,"3,696",2.28%,"2,960",0.00%,0
Humboldt,59.81%,"35,178",33.18%,"19,513",2.99%,"1,756",2.13%,"1,253",1.90%,"1,117",0.00%,0
