County,Feinstein,Votes,Seymour,Votes,Horne,Votes,Meeu.,Votes,Boddie,Votes,W/I,V's,Dummy_Col_1,Extra_Data_2,Filler_3
Monterey,58.89%,"66,417",34.74%,"39,182",2.10%,"2,369",2.30%,"2,590",1.96%,"2,216",0.00%,0,wIjWQ,298,PboJGPO
Los Angeles,58.72%,"1,552,223",34.03%,"899,656",3.18%,"84,093",2.09%,"55,380",1.97%,"52,123",0.00%,20,vdRNSJ,104,cGlal
Napa,57.01%,"29,875",35.38%,"18,539",2.46%,"1,288",2.93%,"1,537",2.22%,"1,161",0.00%,0,iiIVt,381,dBVfa
San Benito,55.51%,"6,938",37.10%,"4,637",2.34%,293,2.88%,360,2.16%,270,0.00%,0,dkCcdhOW,129,sPWKe
Lake,55.10%,"12,732",35.04%,"8,096",3.12%,721,3.96%,916,2.77%,641,0.00%,0,pbuPQX,872,HmUGSm
Sacramento,53.77%,"237,722",38.07%,"168,318",2.99%,"13,228",2.88%,"12,716",2.29%,"10,113",0.00%,1,OpFmaOa,880,WagPMBg
Del Norte,50.92%,"4,696",39.66%,"3,658",2.56%,236,4.98%,459,1.89%,174,0.00%,0,kJpWM,474,wyyqb
Tuolumne,50.56%,"11,895",40.59%,"9,550",2.90%,682,3.40%,801,2.54%,597,0.01%,2,HOKUI,925,SPTYZeKq
Stanislaus,50.11%,"62,110",41.59%,"51,549",2.84%,"3,519",3.49%,"4,325",1.98%,"2,450",0.00%,0,yZSmGU,853,KHAHgM
Santa Barbara,49.63%,"77,900",42.71%,"67,043",3.43%,"5,386",2.25%,"3,535",1.98%,"3,101",0.00%,0,xIkqOd,120,hUPuiiv
San Joaquin,48.90%,"76,607",43.11%,"67,531",2.78%,"4,360",3.27%,"5,123",1.94%,"3,043",0.00%,1,WgoEwFuQ,60,hWujgfoI
Imperial,48.77%,"12,433",43.42%,"11,070",3.77%,962,2.55%,651,1.48%,378,0.00%,0,zkPbS,473,znKnS
