Station complex,Individual stations,Lines,Services,Notes,Random_Column_1,Extra_Data_2,Irrelevant_3
50th Street,lower level,IND Queens Boulevard Line,E,The station became a transfer station when the Queens Boulevard Line opened in 1933. There is no free connection between trains in opposite directions. A free transfer only exists between the northbound (uptown) services and another exists between the southbound (downtown) services.,YpMHjMA6,322,ipINaH
Lexington Avenue / 51st – 53rd Streets,51st Street,IRT Lexington Avenue Line,4       6  <6>,"A passageway connects these two stations on the IRT Lexington Avenue Line and IND Queens Boulevard Line. The $13 million tunnel was paid for by Boston Properties, who was building an office tower on the southeast corner of Lexington Avenue and 53rd Street, in exchange for a zoning bonus of 20% more space, and opened in early November 1986.",iD6LD8Pb,468,w1mOp
Lexington Avenue / 51st – 53rd Streets,Lexington Avenue – 53rd Street,IND Queens Boulevard Line,E       M,"A passageway connects these two stations on the IRT Lexington Avenue Line and IND Queens Boulevard Line. The $13 million tunnel was paid for by Boston Properties, who was building an office tower on the southeast corner of Lexington Avenue and 53rd Street, in exchange for a zoning bonus of 20% more space, and opened in early November 1986.",NhjHN2,482,Y8Bik
Seventh Avenue,cross-platform interchange on two levels,IND Sixth Avenue Line,B       D,The station became a transfer station when the Sixth Avenue Line opened in 1940.,M4CqN,384,WpR86
Seventh Avenue,cross-platform interchange on two levels,IND Queens Boulevard Line,E,The station became a transfer station when the Sixth Avenue Line opened in 1940.,xxRgYo,989,tgv2D
59th Street – Columbus Circle,59th Street – Columbus Circle,IRT Broadway – Seventh Avenue Line,1       2,"The IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line stations at Columbus Circle, which lie above each other, are connected by a passageway that was placed inside fare control on July 1, 1948.",aOjOyL,789,PYVXsEw
59th Street – Columbus Circle,59th Street – Columbus Circle,IND Eighth Avenue Line,A       B       C       D,"The IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line stations at Columbus Circle, which lie above each other, are connected by a passageway that was placed inside fare control on July 1, 1948.",2F5kf,664,z1BQ1
Lexington Avenue / 59th–63rd Streets,59th Street,IRT Lexington Avenue Line,4       5       6  <6>,"The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.",0Pzfm,385,mTQ8dB1
Lexington Avenue / 59th–63rd Streets,Lexington Avenue / 59th Street,BMT Broadway Line,N       Q       R,"The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.",8R2F4A4I,693,C25v1XUl
Lexington Avenue / 59th–63rd Streets,Lexington Avenue – 63rd Street,IND 63rd Street Line,F,"The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.",khwtjf,372,deYUSwyU
145th Street,upper level,IND Eighth Avenue Line,A       C,The station became a transfer station when the Concourse Line opened in 1933.,AjyIt,984,nMNS6Nn
145th Street,lower level,IND Concourse Line,B       D,The station became a transfer station when the Concourse Line opened in 1933.,KO5ep0h,68,tJCTzku
168th Street,168th Street,IRT Broadway – Seventh Avenue Line,1,"At the crossing of the IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line in Washington Heights, a passageway connects the two stations. It was placed inside fare control on July 1, 1948.",0pCCQHU,180,ioEt38Gv
168th Street,168th Street,IND Eighth Avenue Line,A       C,"At the crossing of the IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line in Washington Heights, a passageway connects the two stations. It was placed inside fare control on July 1, 1948.",XEu1T,972,fCIa8SV
