District,Name,Party,District Office,First elected
1,A.G. Crowe,Rep,Slidell,2007
2,Troy Brown,Dem,Napoleonville,2011
3,J.P. Morrell,Dem,New Orleans,2008†
4,Ed Murray,Dem,New Orleans,2005†
5,Karen Carter Peterson,Dem,New Orleans,2010†
6,Bodi White,Rep,Baton Rouge,2011
7,David Heitmeier,Dem,New Orleans,2007
8,John Alario,Rep,Westwego,2007
9,Conrad Appel,Rep,Metairie,2008†
10,Daniel Martiny,Rep,Metairie,2007
11,Jack Donahue,Rep,Mandeville,2007
12,Ben Nevers,Dem,Bogalusa,2003
13,Dale M. Erdey,Rep,Livingston,2007
