District,Name,Party,District Office,First elected
27,Ronnie Johns,Rep,Lake Charles,2011
28,Eric LaFleur,Dem,Ville Platte,2007
29,Rick Gallot,Dem,Ruston,2011
30,John R. Smith,Rep,Leesville,2007
31,Gerald Long,Rep,Winnfield,2007
32,Neil Riser,Rep,Columbia,2007
33,Mike Walsworth,Rep,West Monroe,2007
34,Francis C. Thompson,Dem,Delhi,2007
35,Robert Kostelka,Rep,Monroe,2003
36,Robert Adley,Rep,Benton,2003
37,Barrow Peacock,Rep,Bossier,2011
38,Sherri Smith Buffington,Rep,Keithville,2003
39,Gregory Tarver,Dem,Shreveport,2011
