District,Name,Party,District Office,First elected,Irrelevant_1
14,Yvonne Dorsey-Colomb,Dem,Baton Rouge,2007,sf58gfn
15,Sharon Weston Broome,Dem,Baton Rouge,2004†,6lNYdIIZ
16,Dan Claitor,Rep,Baton Rouge,2009†,YidGEt
17,"Rick Ward, III",Rep,Port Allen,2011,Ekdl9QY3
18,Jody Amedee,Rep,Gonzales,2003,dfP9JQJ
19,"Gary Smith, Jr.",Dem,Norco,2011,Z8AbW0zr
20,Norby Chabert,Rep,Houma,2009†,WKdUNDnK
21,Bret Allain,Rep,Franklin,2011,Lea3pB
22,"Fred H. Mills, Jr.",Rep,New Iberia,2011†,DVw2qUsV
23,Page Cortez,Rep,Lafayette,2011,jNBzn
24,Elbert Guillory,Rep,Opelousas,2009†,plXGa5cV
25,"Dan \Blade\"" Morrish""",Rep,Jennings,2007,7eGhT
26,Jonathan Perry,Rep,Kaplan,2011†,EWo9u9v
