Round,Pick,Player,Position,Nationality,Team,College
2,12,Al Seiden#,G,United States,St. Louis Hawks (from New York),St. John's
2,13,Cal Ramsey,F,United States,St. Louis Hawks,NYU
2,14,Gene Guarilia,F,United States,Boston Celtics,George Washington
3,15,Mike Mendenhall,G,United States,Cincinnati Royals,Cincinnati
3,16,Gary Alcorn,C,United States,Detroit Pistons,Fresno State
3,17,Jim Hockaday,F,United States,Philadelphia Warriors,Memphis
3,18,Bobby Smith,G,United States,Minneapolis Lakers,West Virginia
3,19,Jon Cincebox,F,United States,Syracuse Nationals,Syracuse
3,20,Bob Anderegg,G/F,United States,New York Knicks,Michigan State
3,21,Hank Stein,G,United States,St. Louis Hawks,Xavier
3,22,Ralph Crosthwaite,C,United States,Boston Celtics,Western Kentucky
4,23,Leo Byrd,G,United States,Cincinnati Royals,Marshall
4,24,George Lee,G/F,United States,Detroit Pistons,Michigan
