Round,Pick,Player,Position,Nationality,Team,College
4,25,Ron Stevenson,F,United States,Philadelphia Warriors,TCU
4,26,Wilson Eison,F,United States,Minneapolis Lakers,Purdue
4,27,Paul Neumann,G,United States,Syracuse Nationals,Stanford
4,28,Johnny Cox,G,United States,New York Knicks,Kentucky
4,29,Lee Harman,G,United States,St. Louis Hawks,Oregon State
4,30,Ed Kazakavich,F,United States,Boston Celtics,Scranton
5,31,Harry Kirchner,G/F,United States,Detroit Pistons,TCU
5,32,Tony Windis,G,United States,Detroit Pistons,Wyoming
5,37,Nick Mantis,G,United States,St. Louis Hawks,Northwestern
8,56,Dave Gunther,F,United States,Philadelphia Warriors,Iowa
11,77,John Barnhill,G,United States,St. Louis Hawks,Tennessee State
14,83,Jack Israel,G/F,United States,New York Knicks,Missouri State
