Round,Pick,Player,Position,Nationality,Team,College,Noise_Field_1
T,–,Wilt Chamberlain^,C,United States,Philadelphia Warriors,Kansas,WArSQ
T,–,Bob Ferry,F/C,United States,St. Louis Hawks,Saint Louis,mRSOQ
1,1,Bob Boozer+,F,United States,Cincinnati Royals,Kansas State,OgchK
1,2,Bailey Howell^,F,United States,Detroit Pistons,Mississippi State,KuWvUvY
1,3,Tom Hawkins,F,United States,Minneapolis Lakers,Notre Dame,aokRsuS
1,4,Dick Barnett+,G/F,United States,Syracuse Nationals,Tennessee State,nLrZI
1,5,Johnny Green+,F/C,United States,New York Knicks,Michigan State,oEqyqgS
1,6,John Richter,F,United States,Boston Celtics,NC State,MSvKStDl
2,7,Tom Robitaille#,F/C,United States,Detroit Pistons (from Cincinnati),Rice,LzScvx
2,8,Don Goldstein#,F,United States,Detroit Pistons,Louisville,jMMDwhu
2,9,Joe Ruklick,F/C,United States,Philadelphia Warriors,Northwestern,hgZaBrwQ
2,10,Rudy LaRusso+,F/C,United States,Minneapolis Lakers,Dartmouth,JfzRvGF
2,11,Bumper Tormohlen,F/C,United States,Syracuse Nationals,Tennessee,irimwl
