Airingdate,English title(Chinese title),Number of episodes,Main cast,Theme song (T)Sub-theme song (ST),Genre,Notes,Official website,Random_Column_1
19 Feb-15 Mar,Mutual Affection河東獅吼,20,"Esther Kwan, Gordon Lam, Natalie Wong","T: \怕老婆會發達\""",,,,hd2u6A
"(David Lui)""",Costume drama,,,,,,,6XbCg9O
18 Mar-3 May,Dark Tales聊齋,35,"Gallen Lo, Grace Yu, Jamie Wang, Cynthia Khan","T: \隔世情\""",,,,ihYEeOT
"(Cass Phang)""",Costume drama,Prequel to 1998's Dark Tales II.,,,,,,8TpGvr0
6 May-31 May,Money Just Can't Buy天降財神,20,"Bobby Au Yeung, Mariane Chan, Roger Kwok, Hilary Tsui","T: \運財有福星\""",,,,VsHKc
"(Natalis Chan)""",Modern drama,,,,,,,nmJ0FC
3 Jun-21 Jun,Crossing Boundaries盞鬼老豆,15,"Mini Kung, Benz Hui","T: \覺悟\""",,,,KtcUOs
"(Vivian Lai)""",Modern drama,"Released overseas on April 3, 1995.",,,,,,3Y7wdb
24 Jun-16 Aug,State of Divinity笑傲江湖,40,"Jackie Lui, Fiona Leung, Cherie Chan, Timmy Ho, He Meitian","T: \活得瀟灑\""",,,,AacQ4
"(Alan Tam & Priscilla Chan)""",Costume drama,,Official website,,,,,YzzyN
19 Aug-6 Sep,The Price to Pay五個醒覺的少年,20,"John Kwan, May Kwong, Ng Ka Lok","T: \改改改\""",,,,8IMWwy
