Airingdate,English title(Chinese title),Number of episodes,Main cast,Theme song (T)Sub-theme song (ST),Genre,Notes,Official website
"(Hacken Lee)""",Modern drama,"Released overseas on December 7, 1995.",,,,,
9 Sep-4 Oct,Night Journey殭屍福星,20,"Yuen Wah, Daniel Chan, Louisa So, Cheung Kwok Keung, Halina Tam","T: \今天開始\""",,,
(Daniel Chan),,,,,,,
"ST: \""天生一對\""",,,,,,,
"(Daniel Chan)""",Costume drama,,,,,,
7 Oct-15 Nov,Food of Love闔府統請,30,"Wong He, Kenix Kwok, Marco Ngai, Gabriel Harrison","T: \闔府統請\""",,,
"(Gabriel Harrison)""",Modern drama,,,,,,
10 Nov-20 Dec,Journey to the West西遊記,30,"Dicky Cheung, Kwong Wah, Wayne Lai, Evergreen Mak","T: \西遊記\""",,,
"(Dicky Cheung)""",Costume drama,Prequel to 1998's Journey to the West II.,Official website,,,,
30 Dec 1996-27 Jan 1998,In the Name of Love有肥人終成眷屬,20,"Kent Cheng, Sunny Chan, Gigi Fu, Theresa Lee","T: \但願有情人\""",,,
"(Mo Kai Yin)""",Modern drama,,,,,,
