Club,Enteredadministration,Exitedadministration,League(s),Deduction(s),Noise_Field_1
Bournemouth,8 February 2008,18 July 2008,League OneLeague Two,−10 pts−17 pts,bntzVMHj
Rotherham United,18 March 2008,2008[1],League Two,−10 pts−17 pts,JklwN
Halifax Town,26 March 2008,13 June 2008,Conference National,−10 pts,VPpicq
Darlington,25 February 2009,7 August 2009,League Two,−10 pts,nHINMEv
Southampton,2 April 2009,8 July 2009,ChampionshipLeague One,N/A−10 pts,qIkgV
Stockport County,30 April 2009,18 June 2010,League One,−10 pts,OtGjmeCK
Chester City,17 May 2009,10 March 2010Dissolved,Conference National,−25 pts,SJXQsutW
Northwich Victoria,15 May 2009,16 May 2010,Conference National,−10 pts,hejsQ
Farsley Celtic,30 June 2009,10 March 2010Dissolved,Conference North,−10 pts,fwKrI
Salisbury City,3 September 2009,26 February 2010,Conference National,−10 pts,cNbYxosf
