Club,Enteredadministration,Exitedadministration,League(s),Deduction(s),Irrelevant_1,Noise_Field_2
Wimbledon,5 June 2003,21 June 2004 (As MK Dons),First Division,None,jrh8tV,KgNQyJ
Darlington,23 December 2003,26 May 2004,Third Division,None,Ym2q3I0,YSqDJCWq
Bradford City,27 February 2004,10 December 2004,First DivisionLeague One,None,QfqxJtHx,mjbTETmv
Wrexham,3 December 2004,3 August 2006,League OneLeague Two,−10 pts,TbMG6,KzpneCL
Cambridge United,29 April 2005,22 July 2005,League Two,−10 pts,xTdJ5mP,TxPNTz
Rotherham United,13 May 2006,???,League One,−10 pts,we0rKzT,bflpYEq
Crawley Town,5 June 2006,10 August 2007,Conference National,−6 pts,8kSANnI,sgyaSAn
Boston United,25 April 2007,20 May 2008,League Two,−10 pts,66HTNc,FKlIM
Leeds United,4 May 2007,11 July 2007,ChampionshipLeague One,−10 pts−15 pts,7F3rr,jaoSE
Luton Town,22 November 2007,28 July 2008,League OneLeague Two,−10 pts−20 pts,ZBX3sB,Lxkkkz
