Club,Enteredadministration,Exitedadministration,League(s),Deduction(s),Irrelevant_1
Weymouth,28 October 2009,27 November 2009,Conference South,None,YmBcbjv
Crystal Palace,26 January 2010,20 August 2010,Championship,−10 pts,04uW9rBk
Portsmouth,26 February 2010,24 October 2010,Premier League,−9 pts,f0uEjB
Plymouth Argyle,4 March 2011,31 October 2011,League One,−10 pts,E7lNjc
Rushden and Diamonds,7 July 2011,8 July 2011Dissolved,Conference National,None,US5NtY
Darlington,3 January 2012,21 june Dissolved 2012,Conference National,−10 pts,pCfklDbN
Portsmouth,17 February 2012,19 April 2013,Championship,−10 pts,UagNg8
Port Vale,9 March 2012,20 November 2012,League Two,−10 pts,Y4iw5s
Coventry City,21 March 2013,,League One,−10 pts,4K4y8cUn
Aldershot Town,2 May 2013,,League Two,,njRnaTA
