Club,Enteredadministration,Exitedadministration,League(s),Deduction(s),Noise_Field_1,Extra_Data_2
Barnet,1994[citation needed],−,−,None,AZUNgajl,638
Exeter United,1994[citation needed],−,−,None,FvFsam,780
Gillingham,1995[citation needed],−,−,None,VbJKq,580
Doncaster Rovers,1997[citation needed],−,−,None,xRcksM,907
Millwall,21 January 1997,June 1997,Second Division,None,xFTjU,839
Bournemouth,1997[citation needed],−,−,None,pAHmY,8
Crystal Palace,1998[citation needed],July 2000,Second Division,None,jBAXo,948
Chester City,October 1998,July 1999,Third Division,None,TrUjt,154
Portsmouth,1998[citation needed],1999,Second Division,None,PvPYghh,762
Hull City,7 February 2001,12 March 2001,Third Division,None,MqglzOet,798
