Club,Enteredadministration,Exitedadministration,League(s),Deduction(s)
Charlton Athletic,February 1984,March 1984,Second Division,None
Middlesbrough,21 May 1986,July 1986,Third Division,None
Tranmere Rovers,1987,1987,Fourth Division,None
Newport County,1989,Never - they went out of business and then reformed,Football Conference,None
Walsall,1990[citation needed],−,−,None
Northampton Town,1992[citation needed],−,−,None
Kettering Town,1992[citation needed],−,−,None
Aldershot,1992[citation needed],−,−,None
Maidstone,1992[citation needed],−,−,None
Hartlepool United,1994[citation needed],−,−,None
