Year,Single,Peak chart positionsGER,Peak chart positionsIRE,Peak chart positionsUK,Peak chart positionsUS,Peak chart positionsUSMain,Peak chart positionsUSDance,Certifications(sales thresholds),Album,Random_Column_1
1987,"\Say You Will\""""",—,—,—,—,39,—,,Primitive Cool,VmeD7m2e
1993,"\Sweet Thing\""""",23,—,24,84,34,—,,Wandering Spirit,W4M0TiQ
1993,"\Wired All Night\""""",—,—,—,—,3,—,,Wandering Spirit,r9jSTc
1993,"\Don't Tear Me Up\""""",77,—,86,—,1,—,,Wandering Spirit,4pdFnE
1993,"\Out of Focus\""""",70,—,—,—,—,—,,Wandering Spirit,hLTjF3
2001,"\God Gave Me Everything\""""",60,—,—,—,24,—,,Goddess in the Doorway,dhHRMTqy
2002,"\Visions of Paradise\""""",77,—,43,—,—,—,,Goddess in the Doorway,m7Rv1Me
2004,"\Old Habits Die Hard\"" (with Dave Stewart)""",62,—,45,—,—,—,,Alfie (soundtrack),JnGokz
2008,"\Charmed Life\""""",—,—,—,—,—,18,,The Very Best of Mick Jagger,RpD1p9M
2011,"\Miracle Worker\"" (with SuperHeavy)""",—,—,136,—,—,—,,SuperHeavy (SuperHeavy album),fPx17
2011,"\T.H.E (The Hardest Ever)\"" (with will.i.am & Jennifer Lopez)""",—,13,3,36,—,—,,#willpower (will.i.am album),o92W3Lb5
