High School,JoinYear,From,Left,league left to,Unused_1,Irrelevant_2,Filler_3
Ainsworth,1954,,1961,Big Nine Conference,,KW6MKW,PyIrBk
Atherton,1960,,1976,Mid-Eastern Eight Conference,,nlznrDC,RGrqY
Beecher,1950,,1960,Big Nine Conference,,TfCAW,jjumZ
Bendle,1950,,1975,Mid-Eastern Eight Conference,,udFPz,DVrBvqNy
Bentley,1960,,1978,Genesee Eight,,Hil6cEp,lnNvTnS
Brandon,1977,,1978,Five County 5 League,,BjsjpO0,AyijZ
Clio,1950,,1960,Big Nine Conference,,Ghgy6,ZZXNGI
Davison,1950,,1960,Big Nine Conference,,uvO8Ds,sZHZQ
Durand,1964,,1978,Flint Metro League,,kArVC,qCinLSU
Fenton,1940,,1968,Flint Metro League,,Ydaaf9,iYWeNSQ
