Pos,No,Driver,Team,Laps,Time/Retired,Grid,Points,Noise_Field_1,Dummy_Col_2,Random_Column_3
1,6,Michael Andretti,Newman-Haas Racing,150,1:33:39.268,8,20+1,LzXLF,VwoBCt,tm2eg
2,99,Greg Moore,Forsythe Racing,150,+0.075,1,16+1,ZZOPAh,kUrcl,SISH8o
3,1,Alex Zanardi,Chip Ganassi Racing,150,+0.918,6,14,lniEQ,GvvbjnX,3Yzk5
4,11,Christian Fittipaldi,Newman-Haas Racing,150,+3.359,4,12,jHIrq,JmURc,hj53Ft5
5,20,Scott Pruett,Patrick Racing,150,+5.257,12,10,eCFKvkqZ,LLPKu,l8FJJAj
6,40,Adrián Fernández,Patrick Racing,150,+5.926,5,8,rXbGRJPE,oGtLgDg,RNyR7v3m
7,5,Gil de Ferran,Walker Racing,150,+6.810,11,6,QkzDK,hteDkCLX,1bpbkUX
8,8,Bryan Herta,Team Rahal,150,+9.866,16,5,HHicn,bYYjzmW,kIJVd
9,27,Dario Franchitti,Team KOOL Green,150,+10.275,13,4,luAuKy,cSzxSrrs,f1toEyZp
10,17,Maurício Gugelmin,PacWest Racing Group,150,+10.855,10,3,dwRkknwf,GpqruN,yGEnFAMr
11,33,Patrick Carpentier,Forsythe Racing,150,+11.382,9,2,kzbYbTG,GYerj,yHcPw
12,18,Mark Blundell,PacWest Racing Group,150,+29.029,7,1,Rtuvnou,iUTrz,25qduSDr
13,10,Richie Hearn,Della Penna Motorsports,149,+1 Lap,15,,cMHdCAh,RyrzcUqI,yq3c2Ko
14,9,JJ Lehto,Hogan Racing,149,+1 Lap,29,,CzVhOy,hBqkgr,zrL5N43
15,15,Roberto Moreno,Project Indy,149,+1 Lap,23,,aXbSsw,NKkXoC,eCzx5i
