City/Municipality,City/Municipality,No. ofBarangays,Area(hectares),Population(2010),Income Class(2010),Mayor(2010–2013),Extra_Data_1
,Garchitorena,23,"24,380","25,204",4th class,Solon O.Demetriou Jr.,637
,Goa,34,"20,618","58,503",2nd class,Antero S. Lim,836
,Iriga City,36,"13,735","105,919",4th class,Madeleine A. Gazmen,792
,Lagonoy,38,"37,790","51,814",2nd class,Delfin R. Pilapil Jr.,252
,Libmanan,75,"34,282","100,002",1st class,Marilyn A. Jimenez,972
,Lupi,38,"19,912","30,118",3rd class,Raul M. Matamorosa,47
,Magarao,15,"4,497","24,274",4th class,Salvador A. Senar Jr.,953
,Milaor,20,"3,364","28,474",4th class,Rogelio A. Flores,758
,Minalabac,25,"12,610","48,162",3rd class,Leovegildo D. Basmayor Jr.,165
,Nabua,42,"9,620","80,111",1st class,Delia C. Simbulan,431
25px,Naga City,27,"8,448","174,931",2nd class,John G. Bongat,154
,Ocampo,25,"11,833","43,523",3rd class,Fidel C. Carido,82
