City/Municipality,City/Municipality,No. ofBarangays,Area(hectares),Population(2010),Income Class(2010),Mayor(2010–2013)
,Baao,30,"10,663","54,971",3rd class,Melquiades I. Gaite
,Balatan,17,"9,309","28,699",4th class,Ernesto A. Bagasbas
,Bato,33,"10,712","48,306",3rd class,Jeanette R. Bernaldez
,Bombon,8,"2,873","15,437",5th class,Ma. Luisa DC. Angeles
,Buhi,38,"24,665","73,809",1st class,Rey P. Lacoste
,Bula,33,"16,764","68,011",2nd class,Benjamin S. Decena
,Cabusao,9,"4,680","18,049",5th class,Nebb P. Santiago
,Calabanga,48,"16,380","78,119",1st class,Eduardo Severo
,Camaligan,13,468,"22,254",5th class,Marilou Marquez-Hirose
,Canaman,24,"4,327","32,390",4th class,Emmanuel S. Requejo
,Caramoan,49,"27,600","44,945",2nd class,"Constantino H. Cordial, Jr."
,Del Gallego,32,"20,831","23,064",4th class,Lydia B. Abarientos
,Gainza,8,"1,475","10,345",5th class,William Angeles Abilay
