Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
2005,Constantine,DC Comics/Vertigo,Francis Lawrence,Warner Bros.,"$230,884,728",
2005,The Crow: Wicked Prayer,Caliber Comics,Lance Mungia,Dimension Films,,Sequel to 2000's The Crow: Salvation
2005,Son of the Mask,Dark Horse Comics,Lawrence Guterman,New Line Cinema,"$57,552,641",Sequel to 1994's The Mask
2005,The Adventures of Sharkboy and Lavagirl in 3-D,Original,Robert Rodriguez,Dimension Films/Columbia Pictures,"$69,425,967","Comedy, family film"
2005,Batman Begins,DC Comics,Christopher Nolan,Warner Bros.,"$374,218,673",Reboot of the Batman film franchise
2005,Fantastic Four,Marvel Comics,Tim Story,20th Century Fox,"$330,579,719",
2005,Man-Thing,Marvel Comics,Brett Leonard,Cinemax,Direct-to-video,
2005,Sky High,Original,Mike Mitchell,Walt Disney Pictures,"$86,369,815","Comedy, family film"
2005,V for Vendetta,DC Comics/Vertigo,James McTeigue,Warner Bros.,"$132,511,035",
2006,X-Men: The Last Stand,Marvel Comics,Brett Ratner,20th Century Fox,"$459,359,555",Sequel to 2003's X2: X-Men United
2006,Superman Returns,DC Comics,Bryan Singer,Warner Bros.,"$391,081,192",Alternative sequel to 1980's Superman II
2006,Lightspeed,Original,Don E. FauntLeRoy,Nu Image Films,Direct-to-video,Created by Stan Lee
2006,Zoom,Original,Peter Hewitt,Sony Pictures,"$12,506,188",
2007,Ghost Rider,Marvel Comics,Mark Steven Johnson,Columbia Pictures,"$228,738,393",
