Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
2000,The Specials,Original,Craig Mazin,Regent Entertainment,"$13,276",Comedy film
2000,Unbreakable,Original,M. Night Shyamalan,Touchstone Pictures,"$248,118,121",Psychological thriller
2002,Blade II,Marvel Comics,Guillermo del Toro,New Line Cinema,"$155,010,032",Sequel to 1998's Blade
2002,Spider-Man,Marvel Comics,Sam Raimi,Columbia Pictures,"$821,708,551",
2003,Daredevil,Marvel Comics,Mark Steven Johnson,20th Century Fox,"$179,179,718",
2003,X2: X-Men United,Marvel Comics,Bryan Singer,20th Century Fox,"$407,711,549",Sequel to 2000's X-Men
2003,Hulk,Marvel Comics,Ang Lee,Universal Studios,"$245,360,480",
2003,The League of Extraordinary Gentlemen,WildStorm/DC Comics,Stephen Norrington,20th Century Fox,"$179,265,204",
2004,Hellboy,Dark Horse Comics,Guillermo del Toro,Columbia Pictures,"$99,318,987",
2004,The Punisher,Marvel Comics,Jonathan Hensleigh,Lionsgate,"$54,700,105",Reboot of The Punisher film franchise
2004,Spider-Man 2,Marvel Comics,Sam Raimi,Columbia Pictures,"$783,766,341",Sequel to 2002's Spider-Man
2004,Catwoman,DC Comics,Pitof,Warner Bros.,"$82,102,379",
2004,Blade: Trinity,Marvel Comics,David S. Goyer,New Line Cinema,"$128,905,366",Sequel to 2002's Blade II
2005,Elektra,Marvel Comics,Rob Bowman,20th Century Fox,"$56,681,566",Spin-off to 2003's Daredevil
