Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
2007,Spider-Man 3,Marvel Comics,Sam Raimi,Columbia Pictures,"$890,871,626",Sequel to 2004's Spider-Man 2
2007,Fantastic Four: Rise of the Silver Surfer,Marvel Comics,Tim Story,20th Century Fox,"$289,047,763",Sequel to 2005's Fantastic Four
2007,Underdog,Various,Frederik Du Chau,Walt Disney Pictures,"$65,270,477",
2008,Superhero Movie,Original,Craig Mazin,Metro-Goldwyn-Mayer,"$71,237,351",Spoof film
2008,Iron Man,Marvel Comics,Jon Favreau,Paramount Pictures,"$585,174,222",
2008,Wanted,Top Cow Productions,Timur Bekmambetov,Universal Pictures,"$341,433,252",
2008,The Incredible Hulk,Marvel Comics,Louis Leterrier,Universal Studios,"$263,427,551",Reboot of the Hulk film franchise
2008,Hancock,Original,Peter Berg,Columbia Pictures,"$624,386,746",Comedy-drama
2008,Hellboy II: The Golden Army,Dark Horse Comics,Guillermo del Toro,Universal Studios,"$160,388,063",Sequel to 2004's Hellboy
2008,The Dark Knight,DC Comics,Christopher Nolan,Warner Bros.,"$1,004,558,444",Sequel to 2005's Batman Begins
2008,Punisher: War Zone,Marvel Comics,Lexi Alexander,Lionsgate,"$10,100,036",Reboot of The Punisher film franchise
2008,The Spirit,DC Comics,Frank Miller,Lionsgate,"$39,031,337",
2009,Watchmen,DC Comics,Zack Snyder,Warner Bros.,"$185,258,983",
2009,Push,Original,Paul McGuigan,Summit Entertainment,"$48,808,215",
