Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
1996,Barb Wire,Dark Horse Comics,David Hogan,Universal Studios,"$3,793,614",
1996,Prey of the Jaguar,Original,David DeCoteau,HIT Entertainment,,
1996,The Phantom,Various,Simon Wincer,Paramount Pictures,"$17,323,326",
1996,Darkman III: Die Darkman Die,Original,Bradford May,Universal Studios,Direct-to-video,Sequel to 1995's Darkman II: The Return of Durant
1997,Black Scorpion II: Aftershock,Original,Jonathan Winfrey,Showtime,Television film,Sequel to 1995's Black Scorpion
1997,Batman & Robin,DC Comics,Joel Schumacher,Warner Bros.,"$238,207,122",Sequel to 1995's Batman Forever
1997,Spawn,Image Comics,Mark A.Z. Dippe,New Line Cinema,"$87,840,042",
1997,Steel,DC Comics,Kenneth Johnson,Warner Bros.,"$1,710,972",
1997,Star Kid,Original,Manny Coto,Trimark Pictures,"$7,029,025",
1998,Blade,Marvel Comics,Stephen Norrington,New Line Cinema,"$131,183,530",
1999,Mystery Men,Dark Horse Comics,Kinka Usher,Universal Pictures,"$33,461,011",Comedy film
2000,The Crow: Salvation,Caliber Comics,Bharat Nalluri,Dimension Films,,Sequel to 1996's The Crow: City of Angels
2000,X-Men,Marvel Comics,Bryan Singer,20th Century Fox,"$296,339,527",
2000,Citizen Toxie: The Toxic Avenger Part IV,Original,Lloyd Kaufman,"Troma Entertainment,",,Sequel to 1989's The Toxic Avenger Part III: The Last Temptation of Toxie
