Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
2009,X-Men Origins: Wolverine,Marvel Comics,Gavin Hood,20th Century Fox,"$373,062,864",Prequel to the X-Men film trilogy
2009,Defendor,Original,Peter Stebbings,"Sony Pictures, Darius Films, Alliance Films","$44,462",
2010,Kick-Ass,Icon Comics/Marvel Comics,Matthew Vaughn,Lionsgate,"$96,188,903",
2010,Super,Original,James Gunn,IFC Films / StudioCanal,"$327,716",IFC's most successful VOD film so far
2010,Iron Man 2,Marvel Comics,Jon Favreau,Paramount Pictures,"$623,933,331",Sequel to 2008's Iron Man
2010,Jonah Hex,DC Comics,Jimmy Hayward,Warner Bros.,"$10,903,312",
2011,The Green Hornet,Holyoke Publishing/NOW Comics,Michel Gondry,Columbia Pictures,"$227,817,248",
2011,Thor,Marvel Comics,Kenneth Branagh,Paramount Pictures,"$449,326,618",
2011,X-Men: First Class,Marvel Comics,Matthew Vaughn,20th Century Fox,"$353,624,124",Prequel to the X-Men film trilogy
2011,Green Lantern,DC Comics,Martin Campbell,Warner Bros.,"$219,851,172",
2011,Vs,Original,Jason Trost,Image Entertainment,,
2011,Captain America: The First Avenger,Marvel Comics,Joe Johnston,Paramount Pictures,"$370,569,774",Reboot of the Captain America film franchise
2012,Chronicle,Original,Josh Trank,20th Century Fox,"$126,636,097",Superhero movie in the 'found-footage' genre
2012,Ghost Rider: Spirit of Vengeance,Marvel Comics,Neveldine/Taylor,Columbia Pictures,"$132,563,930",Sequel to 2007's Ghost Rider
