Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes,Noise_Field_1,Irrelevant_2
2012,The Avengers,Marvel Comics,Joss Whedon,Walt Disney Studios Motion Pictures,"$1,518,594,910","In continuity with 2008's Iron Man and The Incredible Hulk, 2010's Iron Man 2,and 2011's Thor and Captain America: The First Avenger",LtGDz,EuMnNTD
2012,The Amazing Spider-Man,Marvel Comics,Marc Webb,Columbia Pictures,"$752,216,557",Reboot of the Spider-Man film franchise,jCKxH,MBS58
2012,The Dark Knight Rises,DC Comics,Christopher Nolan,Warner Bros.,"$1,084,439,099",Sequel to 2008's The Dark Knight,MFxzKnb,w1lJ6X
2012,Dredd,Rebellion Developments,Pete Travis,Lionsgate,"$35,626,525",Reboot of the Judge Dredd film franchise,WwJbpS,mn1Dkm
2013,Iron Man 3,Marvel Comics,Shane Black,Walt Disney Studios Motion Pictures,"$1,215,439,994",Sequel to 2010's Iron Man 2,aJGpZy,g85eHwqZ
2013,Man of Steel,DC Comics,Zack Snyder,Warner Bros.,"$668,045,518",Reboot of the Superman film franchise,NNLKoVPD,4T10J
2013,R.I.P.D.,Dark Horse Comics,Robert Schwentke,Universal Pictures,"$78,324,220",,kqqKeJo,EGbM2u
2013,The Wolverine,Marvel Comics,James Mangold,20th Century Fox,"$414,828,246",Sequel to the X-Men film trilogy,qvTow,L1wqU
2013,Kick-Ass 2,Marvel Comics,Jeff Wadlow,Universal Studios,"$59,556,104",Sequel to 2010's Kick-Ass,XRAdRj,ow7FZ1pX
2013,Super Buddies,Original,Robert Vince,Walt Disney Studios Home Entertainment,Direct to Video,7th installment in the Air Buddies franchise,ihUzo,c59D4R4b
2013,Thor: The Dark World,Marvel Comics,Alan Taylor,Walt Disney Studios Motion Pictures,"$629,972,697",Sequel to 2011's Thor,NxWPHJ,um9au
2014,Captain America: The Winter Soldier,Marvel Comics,Anthony and Joseph Russo,Walt Disney Studios Motion Pictures,,Sequel to 2011's Captain America: The First Avenger,upeCMyLI,EsB61Ym
2014,The Amazing Spider-Man 2,Marvel Comics,Marc Webb,Columbia Pictures,,Sequel to 2012's The Amazing Spider-Man,vdYrnL,cbKwijmh
