Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
1993,The Meteor Man,Original,Robert Townsend,Metro-Goldwyn-Mayer,"$8,023,147",
1994,The Fantastic Four,Marvel Comics,Oley Sassone,Constantin Film,Unreleased,
1994,The Crow,Caliber Comics,Alex Proyas,Miramax Films,"$144,693,129",
1994,Blankman,Original,Mike Binder,Columbia Pictures,"$7,941,977",
1994,The Shadow,Street and Smith Publications,Russell Mulcahy,Universal Studios,"$48,063,435",
1994,The Mask,Dark Horse Comics,Chuck Russell,New Line Cinema,"$351,583,407",
1994,Guyver: Dark Hero,Chuang Yi Publishing,Steve Wang,New Line Cinema,,Sequel to 1991's The Guyver
1995,Batman Forever,DC Comics,Joel Schumacher,Warner Bros.,"$336,529,844",Sequel to 1992's Batman Returns
1995,Judge Dredd,IPC Media,Danny Cannon,Hollywood Pictures,"$113,493,481",
1995,Tank Girl,Dark Horse Comics,Rachel Talalay,United Artists,"$4,064,495",
1995,Mighty Morphin Power Rangers: The Movie,Original,Bryan Spicer,20th Century Fox,"$66,433,194",Based on Mighty Morphin Power Rangers TV series/Characters created by Saban Entertainment
1995,Black Scorpion,Original,Jonathan Winfrey,Showtime,Television film,
1995,Darkman II: The Return of Durant,Original,Bradford May,Universal Studios,Direct-to-video,Sequel to 1990's Darkman
1996,The Crow: City of Angels,Caliber Comics,Tim Pope,Miramax Films,"$17,917,287",Sequel to 1994's The Crow
