Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
1987,Superman IV: The Quest for Peace,DC Comics,Sidney J. Furie,Warner Bros.,"$15,681,020",Sequel to 1983's Superman III
1989,The Toxic Avenger Part II,Original,Lloyd Kaufman,"Troma Entertainment,","$792,966",Sequel to 1984's The Toxic Avenger
1989,The Toxic Avenger Part III: The Last Temptation of Toxie,Original,Lloyd Kaufman,"Troma Entertainment,","$363,561",Sequel to 1989's The Toxic Avenger Part II
1989,Batman,DC Comics,Tim Burton,Warner Bros.,"$411,348,924",
1989,The Return of Swamp Thing,DC Comics,Jim Wynorski,Millimeter Films,"$192,816",Sequel to 1982's Swamp Thing
1989,The Punisher,Marvel Comics,Mark Goldblatt,Artisan Entertainment,"$287,434",Direct-to-video in North America
1990,Teenage Mutant Ninja Turtles,Mirage Comics,Steve Baron,New Line Cinema,"$201,965,915",
1990,Darkman,Original,Sam Raimi,Universal Studios,"$48,878,502",
1990,Captain America,Marvel Comics,Albert Pyun,21st Century Film Corporation,"$675,437",
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Mirage Comics,Michael Pressman,New Line Cinema,"$78,656,813",Sequel to 1990's Teenage Mutant Ninja Turtles
1991,The Guyver,Chuang Yi Publishing,Steve Wang,New Line Cinema,,
1991,The Rocketeer,Pacific Comics,Joe Johnston,Walt Disney Pictures,"$62,000,000",
1992,Batman Returns,DC Comics,Tim Burton,Warner Bros.,"$266,822,354",Sequel to 1989's Batman
1993,Teenage Mutant Ninja Turtles III,Mirage Comics,Stuart Gillard,New Line Cinema,"$42,273,609",Sequel to 1991's Teenage Mutant Ninja Turtles II
