Pick,Player,Team,Position,School
14,Steve Hosey,San Francisco Giants,OF,Fresno State University
15,Kiki Jones,Los Angeles Dodgers,RHP,"Hillsborough HS (Tampa, FL)"
16,Greg Blosser,Boston Red Sox,OF,Sarasota (FL) HS
17,Cal Eldred,Milwaukee Brewers,RHP,University of Iowa
18,Willie Greene,Pittsburgh Pirates,SS,"Jones County HS (Gray, GA)"
19,Eddie Zosky,Toronto Blue Jays,SS,Fresno State University
20,Scott Bryant,Cincinnati Reds,OF,University of Texas
21,Greg Gohr,Detroit Tigers,RHP,Santa Clara University
22,Tom Goodwin,Los Angeles Dodgers,OF,Fresno State University
23,Mo Vaughn,Boston Red Sox,1B,Seton Hall University
24,Alan Zinter,New York Mets,C,University of Arizona
25,Chuck Knoblauch,Minnesota Twins,2B,Texas A&M University
26,Scott Burrell,Seattle Mariners,RHP,Hamden (CT) HS
