Pos,No.,Driver,Team,Laps,Time/Retired,Grid,Laps Led,Points
1,98,Dan Wheldon (W),Bryan Herta Autosport,200,2:56:11.7267,6,1,59
2,4,J. R. Hildebrand (R),Panther Racing,200,+2.1086,12,7,44
3,38,Graham Rahal,Chip Ganassi Racing,200,+5.5949,29,6,38
4,82,Tony Kanaan,KV Racing Technology – Lotus,200,+7.4870,22,0,36
5,9,Scott Dixon (W)1,Chip Ganassi Racing,200,+9.5434,2,73,45
6,2,Oriol Servià1,Newman/Haas Racing,200,+9.5435*(+8.8757),3,18,42
7,30,Bertrand Baguette,Rahal Letterman Lanigan Racing,200,+23.9631,14,11,30
8,07,Tomas Scheckter,SH Racing,200,+24.3299,21,0,28
9,26,Marco Andretti,Andretti Autosport,200,+25.7411,27,0,25
10,7,Danica Patrick,Andretti Autosport,200,+26.4483,25,10,23
11,67,Ed Carpenter,Sarah Fisher Racing,200,+27.0375,8,3,26
12,10,Dario Franchitti (W),Chip Ganassi Racing,200,+56.4167,9,51,24
