Model,Origin,Type,Versions,In Service,Notes
Vought F-8 Crusader,United States,Air superiority fighter/Interceptor aircraft,F-8P,35,Placed in open storage 1988-01-23 at Basa Air Base. They suffered irreparable damage from Mt. Pinatubo's eruption on 1991-06-15.
Northrop F-5 Freedom Fighter,United States,Fighter/Bomber,F-5AF-5B,37,"Retired. The 10 remaining F-5s, out of a total of 37 acquired by the Philippine government from 1967 to 1998, were decommissioned in a ceremony in September 2005"
North American F-86 Sabre,United States,Fighter/Bomber,F-86FF-86D,5020,Replaced by the Northrop F-5A
North American P-51 Mustang,United States,Fighter,P-51D,103,"PAF's 1950s Fighter, replaced by F-86 Sabre"
North American T-28 Trojan,United States,Trainer/Light strike aircraft,T-28AT-28D,2024,Replaced by OV-10 Bronco
North American T-6 Texan,United States,Trainer aircraft,,38,
Beechcraft T-34 Mentor,United States,Trainer aircraft,,36,Replaced by the SF-260
Lockheed T-33 Shooting Star,United States,Trainer aircraft,T-33ART-33A,252,Replaced by the S-211
Douglas AC-47 Spooky,United States,Close air support aircraft,,11,
Douglas C-47 Skytrain,United States,Military transport aircraft,,?,Replaced by the C-130
