No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result
1,325,Andy Sandham,England,640,1,West Indies,3 April 1930,Drawn
2,149,Les Ames (1/2),England,174,1,West Indies,3 April 1930,Drawn
3,223,George Headley (1/2),West Indies,385,4,England,3 April 1930,Drawn
4,270*,George Headley (2/2),West Indies,NR,1,England,14 March 1935,Won
5,126,Les Ames (2/2),England,NR,2,West Indies,14 March 1935,Lost
6,141,Everton Weekes (1/2),West Indies,NR,2,England,27 March 1948,Won
7,107,Winston Place,England,NR,3,West Indies,27 March 1948,Lost
8,117,Polly Umrigar,India,NR,1,West Indies,28 March 1953,Drawn
9,237,Frank Worrell,West Indies,NR,2,India,28 March 1953,Drawn
10,109,Everton Weekes (2/2),West Indies,NR,2,India,28 March 1953,Drawn
11,118,Clyde Walcott (1/5),West Indies,NR,2,India,28 March 1953,Drawn
