No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result
56,153,Graham Gooch,England,213,1,West Indies,10 April 1981,Drawn
57,154*,David Gower,England,403,3,West Indies,10 April 1981,Drawn
58,127,Gordon Greenidge (2/2),West Indies,193,2,Australia,28 April 1984,Won
59,112,Jeff Crowe,New Zealand,206,3,West Indies,4 May 1985,Lost
60,116,Navjot Singh Sidhu,India,237,1,West Indies,28 April 1989,Lost
61,156,Richie Richardson (1/3),West Indies,314,2,India,28 April 1989,Won
62,110,Viv Richards,West Indies,178,2,India,28 April 1989,Won
63,132,Allan Lamb,England,205,2,West Indies,24 February 1990,Won
64,109*,David Boon,Australia,243,2,West Indies,1 May 1991,Drawn
65,104*,Richie Richardson (2/3),West Indies,233,3,Australia,1 May 1991,Drawn
66,126,Keith Arthurton,West Indies,232,2,England,19 February 1994,Won
