No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result,Filler_1
12,150,Pankaj Roy,India,NR,3,West Indies,28 March 1953,Drawn,VLBYHUd
13,118,Vijay Manjrekar,India,NR,3,West Indies,28 March 1953,Drawn,shnRB
14,116,Willie Watson,England,NR,4,West Indies,15 January 1954,Lost,JLPhG
15,205,Len Hutton,England,NR,2,West Indies,30 March 1954,Won,pTyPu
16,116,Clyde Walcott (2/5),West Indies,NR,3,England,30 March 1954,Lost,XANHHnD
17,133,Neil Harvey (1/2),Australia,NR,1,West Indies,26 March 1955,Won,nuWNVHJ
18,147,Keith Miller (1/2),Australia,NR,1,West Indies,26 March 1955,Won,cdquGix
19,108,Clyde Walcott (3/5),West Indies,NR,2,Australia,26 March 1955,Lost,MSbzamE
20,104,Collie Smith,West Indies,NR,3,Australia,26 March 1955,Lost,enXmXiH
21,155,Clyde Walcott (4/5),West Indies,NR,1,Australia,11 June 1955,Lost,jdMZvbOt
22,127,Colin McDonald,Australia,NR,2,West Indies,11 June 1955,Won,aNvjNR
