No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result
34,125,Easton McMorris,West Indies,NR,2,India,7 March 1962,Won
35,138,Rohan Kanhai (1/2),West Indies,NR,2,India,7 March 1962,Won
36,153,Garfield Sobers (3/5),West Indies,NR,2,India,7 March 1962,Won
37,104,Garfield Sobers (4/5),West Indies,NR,1,India,13 April 1962,Won
38,101,Colin Cowdrey (2/2),England,NR,1,West Indies,8 February 1968,Drawn
39,113*,Garfield Sobers (5/5),West Indies,NR,3,England,8 February 1968,Drawn
40,212,Dilip Sardesai,India,NR,1,West Indies,18 February 1971,Drawn
41,158*,Rohan Kanhai (2/2),West Indies,NR,3,India,18 February 1971,Drawn
42,163,Roy Fredericks,West Indies,NR,1,New Zealand,16 February 1972,Drawn
43,214,Lawrence Rowe (1/3),West Indies,NR,1,New Zealand,16 February 1972,Drawn
44,223*,Glenn Turner,New Zealand,NR,2,West Indies,16 February 1972,Drawn
