Name of President,Picture,Life span,Year of Presidency,Place of Conference
Madan Mohan Malaviya,,25 December 1861 – 1946,1918,Delhi
Syed Hasan Imam,,31 August 1871 – 1933,1918,Bombay (Special Session)
Motilal Nehru,,6 May 1861– 6 February 1931,1919,Amritsar
Lala Lajpat Rai,,28 January 1865– 17 November 1928,1920,Calcutta (Special Session)
C. Vijayaraghavachariar,,1852– 19 April 1944,1920,Nagpur
Hakim Ajmal Khan,,1863– 29 December 1927,1921,Ahmedabad
Deshbandhu Chittaranjan Das,,5 November 1870– 16 June 1925,1922,Gaya
Mohammad Ali Jouhar,,10 December 1878– 4 January 1931,1923,Kakinada
Abul Kalam Azad,,1888– 22 February 1958,1923,Delhi (Special Session)
Mohandas Gandhi,,2 October 1869– 30 January 1948,1924,Belgaum
Sarojini Naidu,,13 February 1879– 2 March 1949,1925,Kanpur
