Name of President,Picture,Life span,Year of Presidency,Place of Conference
Rashbihari Ghosh,,23 December 1845 – 1921,1907,Surat
Rashbihari Ghosh,,23 December 1845 – 1921,1908,Madras
Madan Mohan Malaviya,,25 December 1861 – 1946,1909,Lahore
William Wedderburn,,1838–1918,1910,Allahabad
Bishan Narayan Dar,,1864–1916,1911,Calcutta
Raghunath Narasinha Mudholkar,,1857–1921,1912,Bankipur
Nawab Syed Muhammad Bahadur,,?- 1919,1913,Karachi
Bhupendra Nath Bose,,1859–1924,1914,Madras
Lord Satyendra Prasanna Sinha,,March 1863– 1928,1915,Bombay
Ambica Charan Mazumdar,,1850–1922,1916,Lucknow
Annie Besant,,1 October 1847 – 1933,1917,Calcutta
