Name of President,Picture,Life span,Year of Presidency,Place of Conference,Extra_Data_1
S. Srinivasa Iyengar,,"September 11, 1874– 19 May 1941",1926,Gauhati,470
Mukhtar Ahmed Ansari,,25 December 1880– 10 May 1936,1927,Madras,508
Motilal Nehru,,6 May 1861– 6 February 1931,1928,Calcutta,868
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1929 & 30,Lahore,258
Vallabhbhai Patel,,31 October 1875– 15 December 1950,1931,Karachi,641
Madan Mohan Malaviya,,25 December 1861 – 1946,1932,Delhi,753
Madan Mohan Malaviya,,25 December 1861 – 1946,1933,Calcutta,87
Nellie Sengupta,,1886–1973,1933,Calcutta,872
Rajendra Prasad,,3 December 1884– 28 February 1963,1934 & 35,Bombay,645
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1936,Lucknow,736
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1936& 37,Faizpur,996
