Name of President,Picture,Life span,Year of Presidency,Place of Conference
Subhas Chandra Bose,,23 January 1897 – Unknown,1938,Haripura
Subhas Chandra Bose,,23 January 1897 – Unknown,1939,Tripuri
Abul Kalam Azad,,1888– 22 February 1958,1940–46,Ramgarh
J. B. Kripalani,,1888– 19 March 1982,1947,Meerut
Pattabhi Sitaraimayya,,24 December 1880– 17 December 1959,1948 & 49,Jaipur
Purushottam Das Tandon,,1 August 1882– 1 July 1961,1950,Nasik
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1951 & 52,Delhi
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1953,Hyderabad
Jawaharlal Nehru,,14 November 1889– 27 May 1964,1954,Calcutta
U. N. Dhebar,,21 September 1905 – 1977,1955,Avadi
U. N. Dhebar,,21 September 1905 – 1977,1956,Amritsar
