Name of President,Picture,Life span,Year of Presidency,Place of Conference,Filler_1,Extra_Data_2
U. N. Dhebar,,21 September 1905 – 1977,1957,Indore,YRVeWEko,239
U. N. Dhebar,,21 September 1905 – 1977,1958,Gauhati,gtqyIek,367
U. N. Dhebar,,21 September 1905 – 1977,1959,Nagpur,AnoFCgm,464
Indira Gandhi,,19 November 1917– 31 October 1984,1959,Delhi,zsufwRLC,784
Neelam Sanjiva Reddy,,19 May 1913– 1 June 1996,1960,Bangalore,RNKXc,721
Neelam Sanjiva Reddy,,19 May 1913– 1 June 1996,1961,Bhavnagar,qwQBCeZh,679
Neelam Sanjiva Reddy,,19 May 1913– 1 June 1996,1962 & 63,Patna,tzJhoP,799
K. Kamaraj,,15 July 1903– 2 October 1975,1964,Bhubaneswar,aLvwwu,994
K. Kamaraj,,15 July 1903– 2 October 1975,1965,Durgapur,boBtA,292
K. Kamaraj,,15 July 1903– 2 October 1975,1966 & 67,Jaipur,nmVSmr,529
S. Nijalingappa,,10 December 1902– 9 August 2000,1968,Hyderabad,PKrKmRFV,710
