Name of President,Picture,Life span,Year of Presidency,Place of Conference,Extra_Data_1,Noise_Field_2
S. Nijalingappa,15 December 1992– 9 August 2000,1968,gujarat,,669,Mpikz
p. mehul,10 December 1902– 9 August 2000,1969,Faridabad,,964,zIYuTU
Jagjivan Ram,,5 April 1908– 6 July 1986,1970 & 71,Bombay,802,PYeFPk
Shankar Dayal Sharma,,19 August 1918– 26 December 1999,1972– 74,Calcutta,74,KOOld
Dev Kant Baruah,,22 February 1914 – 1996,1975– 77,Chandigarh,318,BdaCn
Indira Gandhi,,19 November 1917 – 31 October 1984,1978 – 83,Delhi,635,lxBQlRNV
Indira Gandhi,,19 November 1917 – 31 October 1984,1983-84,Calcutta,499,mkKQHMV
Rajiv Gandhi,,20 August 1944 – 21 May 1991,1985-91,Bombay,864,EEmrD
P. V. Narasimha Rao,,28 June 1921 – 23 December 2004,1992-96,Tirupati,457,lmlXgD
Sitaram Kesri,,November 1919 – 24 October 2000,1997-98,Calcutta,594,IVYnlIdo
Sonia Gandhi,,9 December 1946–,1998–present,Calcutta,77,ZyDSDAE
