Name of President,Picture,Life span,Year of Presidency,Place of Conference
Womesh Chunder Bonnerjee,,29 December 1844 – 1906,1885,Bombay
Dadabhai Naoroji,,4 September 1825 – 1917,1886,Calcutta
Badruddin Tyabji,,10 October 1844 – 1906,1887,Madras
George Yule,,1829–1892,1888,Allahabad
William Wedderburn,,1838–1918,1889,Bombay
Pherozeshah Mehta,75px,4 August 1845 – 1915,1890,Calcutta
Anandacharlu,,August 1843– 1908,1891,Nagpur
Womesh Chunder Bonnerjee,,29 December 1844 – 1906,1892,Allahabad
Dadabhai Naoroji,,4 September 1848 – 1925,1893,Lahore
Alfred Webb,,1834–1908,1894,Madras
Surendranath Banerjee,,10 November 1848 – 1925,1895,Poona
