Rank,City,Population (2011),Population (2001),State/Territory
21,Ghaziabad,"1,636,068","968,256",Uttar Pradesh
22,Ludhiana,"1,613,878","1,398,467",Punjab
23,Agra,"1,574,542","1,275,134",Uttar Pradesh
24,Nashik,"1,486,973","1,077,236",Maharashtra
25,Faridabad,"1,404,653","1,055,938",Haryana
26,Meerut,"1,309,023","1,068,772",Uttar Pradesh
27,Rajkot,"1,286,995","967,476",Gujarat
28,Kalyan-Dombivali,"1,246,381","1,193,512",Maharashtra
29,Vasai-Virar,"1,221,233",Not Available,Maharashtra
30,Varanasi,"1,201,815","1,091,918",Uttar Pradesh
31,Srinagar,"1,192,792","898,440",Jammu and Kashmir
32,Aurangabad,"1,171,330","873,311",Maharashtra
33,Dhanbad,"1,161,561","99,258",Jharkhand
34,Amritsar,"1,132,761","966,862",Punjab
35,Navi Mumbai,"1,119,477","704,002",Maharashtra
36,Allahabad,"1,117,094","975,393",Uttar Pradesh
37,Ranchi,"1,073,440","847,093",Jharkhand
38,Howrah,"1,072,161","1,007,532",West Bengal
39,Coimbatore,"1,061,447","930,882",Tamil Nadu
40,Jabalpur,"1,054,336","932,484",Madhya Pradesh
