Rank,City,Population (2011),Population (2001),State/Territory
161,Purnia,"280,547","171,687",Bihar
162,Satna,"280,248","225,464",Madhya Pradesh
163,Mau,"279,060","212,657",Uttar Pradesh
164,Sonipat,"277,053","214,974",Haryana
165,Farrukhabad,"275,750","228,333",Uttar Pradesh
166,Sagar,"273,357","232,133",Madhya Pradesh
167,Rourkela,"273,217","224,601",Orissa
168,Durg,"268,679","232,517",Chhattisgarh
169,Imphal,"264,986","221,492",Manipur
170,Ratlam,"264,810","222,202",Madhya Pradesh
171,Hapur,"262,801","211,983",Uttar Pradesh
172,Anantapur,"262,340","218,808",Andhra Pradesh
173,Arrah,"261,099","203,380",Bihar
174,Karimnagar,"260,899","205,653",Andhra Pradesh
175,Etawah,"256,790","210,453",Uttar Pradesh
176,Ambernath,"254,003","203,795",Maharashtra
177,North Dumdum,"253,625","220,042",West Bengal
178,Bharatpur,"252,109","204,587",Rajasthan
179,Begusarai,"251,136","93,378",Bihar
180,New Delhi,"249,998","302,147",Delhi
