Rank,City,Population (2011),Population (2001),State/Territory
41,Gwalior,"1,053,505","827,026",Madhya Pradesh
42,Vijayawada,"1,048,240","851,282",Andhra Pradesh
43,Jodhpur,"1,033,918","851,051",Rajasthan
44,Madurai,"1,016,885","928,869",Tamil Nadu
45,Raipur,"1,010,087","605,747",Chhattisgarh
46,Kota,"1,001,365","694,316",Rajasthan
47,Guwahati,"963,429","809,895",Assam
48,Chandigarh,"960,787","808,515",Chandigarh
49,Solapur,"951,118","872,478",Maharashtra
50,Hubballi-Dharwad,"943,857","786,195",Karnataka
51,Bareilly,"898,167","718,395",Uttar Pradesh
52,Moradabad,"889,810","641,583",Uttar Pradesh
53,Mysore,"887,446","755,379",Karnataka
54,Gurgaon,"876,824","173,542",Haryana
55,Aligarh,"872,575","669,087",Uttar Pradesh
56,Jalandhar,"862,196","706,043",Punjab
57,Tiruchirappalli,"846,915","752,066",Tamil Nadu
58,Bhubaneswar,"837,737","648,032",Orissa
59,Salem,"831,038","696,760",Tamil Nadu
60,Mira-Bhayandar,"814,655","520,388",Maharashtra
