Rank,City,Population (2011),Population (2001),State/Territory
101,Tirupur,"444,543","344,543",Tamil Nadu
102,Davanagere,"435,128","364,523",Karnataka
103,Kozhikode (Calicut),"432,097","436,556",Kerala
104,Akola,"427,146","400,520",Maharashtra
105,Kurnool,"424,920","269,122",Andhra Pradesh
106,Rajpur Sonarpur,"423,806","336,707",West Bengal
107,Bokaro,"413,934","393,805",Jharkhand
108,South Dumdum,"410,524","392,444",West Bengal
109,Bellary,"409,644","316,766",Karnataka
110,Patiala,"405,164","303,151",Punjab
111,Gopalpur,"404,991","271,811",West Bengal
112,Agartala,"399,688","271,811",Tripura
113,Bhagalpur,"398,138","340,767",Bihar
114,Muzaffarnagar,"392,451","316,729",Uttar Pradesh
115,Bhatpara,"390,467","442,385",West Bengal
116,Panihati,"383,522","348,438",West Bengal
117,Latur,"382,754","299,985",Maharashtra
118,Dhule,"376,093","341,755",Maharashtra
119,Rohtak,"373,133","286,807",Haryana
120,Korba,"363,210","315,690",Chhattisgarh
