Rank,City,Population (2011),Population (2001),State/Territory
1,Mumbai,"12,478,447","11,978,450",Maharashtra
2,Delhi,"11,007,835","9,879,172",Delhi
3,Bangalore,"8,425,970","5,438,065",Karnataka
4,Hyderabad,"6,809,970","3,637,483",Andhra Pradesh
5,Ahmedabad,"5,570,585","3,520,085",Gujarat
6,Chennai,"4,681,087","4,343,645",Tamil Nadu
7,Kolkata,"4,486,679","4,572,876",West Bengal
8,Surat,"4,462,002","2,433,835",Gujarat
9,Pune,"3,115,431","2,538,473",Maharashtra
10,Jaipur,"3,073,350","2,322,575",Rajasthan
11,Lucknow,"2,815,601","2,185,927",Uttar Pradesh
12,Kanpur,"2,767,031","2,551,337",Uttar Pradesh
13,Nagpur,"2,405,421","2,052,066",Maharashtra
14,Indore,"1,960,631","1,474,968",Madhya Pradesh
15,Thane,"1,818,872","1,262,551",Maharashtra
16,Bhopal,"1,795,648","1,437,354",Madhya Pradesh
17,Visakhapatnam,"1,730,320","982,904",Andhra Pradesh
18,Pimpri-Chinchwad,"1,729,359","1,012,472",Maharashtra
19,Patna,"1,683,200","1,366,444",Bihar
20,Vadodara,"1,666,703","1,306,227",Gujarat
