Rank,City,Population (2011),Population (2001),State/Territory
141,Kulti,"313,977","289,903",West Bengal
142,Kakinada,"312,255","296,329",Andhra Pradesh
143,Nizamabad,"310,467","288,722",Andhra Pradesh
144,Parbhani,"307,191","259,329",Maharashtra
145,Tumkur,"305,821","248,929",Karnataka
146,Hisar,"301,249","256,689",Haryana
147,Ozhukarai,"300,028","217,707",Puducherry
148,Bihar Sharif,"296,889","232,071",Bihar
149,Panipat,"294,150","261,740",Haryana
150,Darbhanga,"294,116","267,348",Bihar
151,Bally,"291,972","260,906",West Bengal
152,Aizawl,"291,822","228,280",Mizoram
153,Dewas,"289,438","231,672",Madhya Pradesh
154,Ichalkaranji,"287,570","257,610",Maharashtra
155,Tirupati,"287,035","228,202",Andhra Pradesh
156,Karnal,"286,974","210,476",Haryana
157,Bathinda,"285,813","217,256",Punjab
158,Jalna,"285,349","235,795",Maharashtra
159,Barasat,"283,443","231,515",West Bengal
160,Kirari Suleman Nagar,"282,598","153,874",Delhi
