Year,English title,Japanese,Romanization,Type
1995,Osaka Tough Guys,なにわ遊侠伝,Naniwa yūkyōden,Video
1995,Shinjuku Triad Society,新宿黒社会 チャイナ マフィア戦争,Shinjuku kuroshakai: Chaina mafia sensō,Film
1996,(Shin daisan no gokudō: boppatsu Kansai gokudō sensō),新・第三の極道 勃発 関西極道ウォーズ！！,Shin daisan no gokudō: boppatsu Kansai gokudō sensō,Video
1996,(Shin daisan no gokudō II),新・第三の極道II,Shin daisan no gokudō II,Video
1996,(Jingi naki yabō),仁義なき野望,Jingi naki yabō,Video
1996,(Piinattsu: Rakkasei),ピイナッツ 落華星,Piinattsu: Rakkasei,Video
1996,The Way to Fight,喧嘩の花道 大阪最強伝説,Kenka no hanamichi: Ōsaka saikyō densetsu,Video
1996,Fudoh: The New Generation,極道戦国志 不動,Gokudō sengokushi: Fudō,Film
1997,(Jingi naki yabō 2),仁義なき野望2,Jingi naki yabō 2,Video
1997,Young Thugs: Innocent Blood,岸和田少年愚連隊 血煙り純情篇,Kishiwada shōnen gurentai: Chikemuri junjō-hen,Film
1997,Rainy Dog,極道黒社会 RAINY DOG,Gokudō kuroshakai,Film
