Year,English title,Japanese,Romanization,Type,Noise_Field_1,Irrelevant_2,Irrelevant_3
2006,Waru,WARU,Waru,Film,UaTba,VJgm6A5m,JNpEGUp
2006,Imprint episode from Masters of Horror,インプリント ～ぼっけえ、きょうてえ～,Inpurinto ~bokke kyote~,TV episode,ATXjQuO,xUN5zA,t8OSS
2006,Waru: kanketsu-hen,,Waru: kanketsu-hen,Video,VReYJnC,SncBax,a7UWtM1
2006,Sun Scarred,太陽の傷,Taiyo no kizu,Film,skEAoeI,cQYtqGtd,DTVvo
2007,Sukiyaki Western Django,スキヤキ・ウエスタン ジャンゴ,Sukiyaki wesutān jango,Film,ZTjshGf,Yhgin,Q3vJZcz
2007,Crows Zero,クローズZERO,Kurōzu Zero,Film,EduKQxY,oTUlWvj,n9Nx5ox
2007,Like a Dragon,龍が如く 劇場版,Ryu ga Gotoku Gekijōban,Film,UcATVT,oZjTt1d,hobsc
2007,Zatoichi,座頭市,Zatōichi,Stageplay,LDxTHx,Zy7Mqucn,4E7BhlbY
2007,Detective Story,探偵物語,Tantei monogatari,Film,kjRXjy,pGiHq,ryvOKAHa
2008,God's Puzzle,神様のパズル,Kamisama no pazuru,Film,hHzQKOKD,LlXPMRAg,wj4bFx
2008,K-tai Investigator 7,ケータイ捜査官7,Keitai Sōsakan 7,TV,BvCWbVaq,NA7ECLG,n1cMqgAn
