Year,English title,Japanese,Romanization,Type
2009,Yatterman,ヤッターマン,Yattaaman,Film
2009,Crows Zero 2,クローズZERO 2,Kurōzu Zero 2,Film
2010,Thirteen Assassins,十三人の刺客,Jûsan-nin no shikaku,Film
2010,Zebraman 2: Attack on Zebra City,ゼブラーマン -ゼブラシティの逆襲,Zeburāman -Zebura Shiti no Gyakushū,Film
2011,Ninja Kids!!!,忍たま乱太郎,Nintama Rantarō,Film
2011,Hara-Kiri: Death of a Samurai,一命,Ichimei,Film
2012,Ace Attorney,逆転裁判,Gyakuten Saiban,Film
2012,For Love's Sake,愛と誠,Ai to makoto,Film
2012,Lesson of the Evil,悪の教典,Aku no Kyōten,Film
2013,Shield of Straw,藁の楯,Wara no Tate,Film
2013,The Mole Song: Undercover Agent Reiji,土竜の唄　潜入捜査官 REIJI,Mogura no uta – sennyu sosakan: Reiji,Film
