Year,English title,Japanese,Romanization,Type
2001,Agitator,荒ぶる魂たち,Araburu tamashii-tachi,Film
2001,The Happiness of the Katakuris,カタクリ家の幸福,Katakuri-ke no kōfuku,Film
2002,Dead or Alive: Final,DEAD OR ALIVE FINAL,n/a,Film
2002,(Onna kunishū ikki),おんな 国衆一揆,Onna kunishū ikki,(unknown)
2002,Sabu,SABU さぶ,Sabu,TV
2002,Graveyard of Honor,新・仁義の墓場,Shin jingi no hakaba,Film
2002,Shangri-La,金融破滅ニッポン 桃源郷の人々,Kin'yū hametsu Nippon: Tōgenkyō no hito-bito,Film
2002,Pandōra,パンドーラ,Pandōra,Music video
2002,Deadly Outlaw: RekkaViolent Fire,実録・安藤昇侠道（アウトロー）伝 烈火,Jitsuroku Andō Noboru kyōdō-den: Rekka,Film
2002,Pāto-taimu tantei,パートタイム探偵,Pāto-taimu tantei,TV series
2003,The Man in White,許されざる者,Yurusarezaru mono,Film
