Year,English title,Japanese,Romanization,Type
1999,"Man, Next Natural Girl: 100 Nights In YokohamaN-Girls vs Vampire",天然少女萬NEXT 横浜百夜篇,Tennen shōjo Man next: Yokohama hyaku-ya hen,TV
2000,The Making of 'Gemini',(unknown),Tsukamoto Shin'ya ga Ranpo suru,TV documentary
2000,MPD Psycho,多重人格探偵サイコ,Tajū jinkaku tantei saiko: Amamiya Kazuhiko no kikan,TV miniseries
2000,The City of Lost SoulsThe City of StrangersThe Hazard City,漂流街 THE HAZARD CITY,Hyōryū-gai,Film
2000,The Guys from Paradise,天国から来た男たち,Tengoku kara kita otoko-tachi,Film
2000,Dead or Alive 2: BirdsDead or Alive 2: Runaway,DEAD OR ALIVE 2 逃亡者,Dead or Alive 2: Tōbōsha,Film
2001,(Kikuchi-jō monogatari: sakimori-tachi no uta),鞠智城物語 防人たちの唄,Kikuchi-jō monogatari: sakimori-tachi no uta,Film
2001,(Zuiketsu gensō: Tonkararin yume densetsu),隧穴幻想 トンカラリン夢伝説,Zuiketsu gensō: Tonkararin yume densetsu,Film
2001,Family,FAMILY,n/a,Film
2001,Visitor Q,ビジターQ,Bijitā Q,Video
2001,Ichi the Killer,殺し屋1,Koroshiya 1,Film
