Year,English title,Japanese,Romanization,Type
1997,Full Metal Yakuza,FULL METAL 極道,Full Metal gokudō,Video
1998,The Bird People in China,中国の鳥人,Chûgoku no chôjin,Film
1998,Andromedia,アンドロメデイア andromedia,Andoromedia,Film
1998,Blues Harp,BLUES HARP,n/a,Film
1998,Young Thugs: Nostalgia,岸和田少年愚連隊 望郷,Kishiwada shōnen gurentai: Bōkyō,Film
1999,"Man, A Natural Girl",天然少女萬,Tennen shōjo Man,TV
1999,Ley Lines,日本黒社会,Nihon kuroshakai,Film
1999,Silver,シルバー SILVER,Silver: shirubā,Video
1999,Audition,オーディション,Ōdishon,Film
1999,Dead or Alive,DEAD OR ALIVE 犯罪者,Dead or Alive: Hanzaisha,Film
1999,Salaryman KintaroWhite Collar Worker Kintaro,サラリーマン金太郎,Sarariiman Kintarō,Film
