Name,Nationality,Club,From,Until
Juergen Sommer,United States,Indy Eleven,2013,Present
Manny Lagos,United States,Minnesota United FC,2010,Present
Marc Dos Santos,Canada,Montreal Impact,2009,2011
Nick De Santis,Canada,Montreal Impact,2011,2011
Giovanni Savarese,Venezuela,New York Cosmos,2012,Present
Marc Dos Santos,Canada,Ottawa Fury FC,2013,Present
Colin Clarke,England,Puerto Rico Islanders,2007,2011
Adrian Whitbread,England,Puerto Rico Islanders,2011,2012
Tim Hankinson,United States,San Antonio Scorpions,2012,2013
Alen Marcina,Canada,San Antonio Scorpions,2013,Present
Ricky Hill,England,Tampa Bay Rowdies,2011,Present
