Name,Nationality,Club,From,Until,Noise_Field_1,Noise_Field_2
José Manuel Abundis,Mexico,Atlanta Silverbacks,2011,2011,DRTsb,oKrkaJX
Alex Pineda Chacón,Honduras,Atlanta Silverbacks,2011,2012,hwxKktpH,FeFdtdk
Eric Wynalda,United States,Atlanta Silverbacks,2012,2012,QgSpx,JCBPy
Brian Haynes (footballer),Trinidad and Tobago,Atlanta Silverbacks,2012,2013,hsGXKKd,CrqXd
Eric Wynalda,United States,Atlanta Silverbacks,2014,Present,jLyYd,UDTnuB
Martin Rennie,Scotland,Carolina RailHawks,2009,2011,HrcnUY,fehdsSA
Colin Clarke,England,Carolina RailHawks,2011,Present,VebvZXN,imVEBEp
Dwight Lodeweges,Netherlands,FC Edmonton,2010,2010,wUNRfCp,YOrwf
Harry Sinkgraven,Netherlands,FC Edmonton,2010,2012,ZYyPTJRs,okFtiabr
Colin Miller,Canada,FC Edmonton,2012,Present,EQblzprL,XjoNck
Daryl Shore,United States,Fort Lauderdale Strikers,2010,2013,ZwlWeveu,QwZPYuK
Günter Kronsteiner,Austria,Fort Lauderdale Strikers,2013,Present,BQlmAlWU,FZzmCTY
