name,pos.,caps,goals,club,Irrelevant_1,Dummy_Col_2,Random_Column_3
Olle Åhlund,MF,6,0,Degerfors IF,u0xcq,WzjVrF,WFeYYVX
Henry Andersson,GK,2,0,IFK Göteborg,PNqBMkN,NiAQOih,5E3HcZ
Bertil Bäckvall,FW,1,0,Hammarby IF Stockholm,NTxYWvQ,vkhxEci,mAl1I
"Henry \Garvis\"" Carlsson""",FW,5,4,AIK Solna,3j4KyW7C,QzDUa,YBdag
"Arvid \Emma\"" Emanuelsson""",MF,5,0,IF Elfsborg Borås,C75BV2Ub,pKHGT,zQTYGW
"Rune \Killing\"" Emanuelsson""",MF/DF,3,0,IFK Göteborg,v7sauVhR,RUwwj,e16QJj
Karl-Erik Grahn,MF,4,1,IF Elfsborg Borås,ATN7eJd,wMyIRH,zLa3k
"Gunnar \Il Professore\"" Gren""",FW,6,9,IFK Göteborg,MgEBcU,ypQNw,yzkT4
"Erik \Mulle\"" Holmqvist""",FW,2,1,IFK Norrköping,gTVs9h,Tmxtao,gHAcC
"Oskar \Masse\"" Holmqvist""",DF,2,0,IFK Norrköping,XyQtWr,FouckXc,1ySfkTD
Ove Karlsson-Widricks,DF,1,0,AIK Solna,yVPz6c,gjUwf,MlJivBYO
Börje Leander,DF/MF,4,0,AIK Solna,PeYWYkz2,PVHwx,39BKbG
Gösta Malm,DF,2,0,IFK Norrköping,BkH4f,OsZHJT,oHYVpC
"Malte \Svarta Blixten\"" Mårtensson""",FW,1,0,Hälsingborgs IF,BYL4B1B,EJOrYEV,KGMUM2
