name,pos.,caps,goals,club
Harry Nilsson,DF,6,0,AIK Solna
Stellan Nilsson,FW,2,1,Malmö FF
Bertil Nordahl,DF/MF,2,0,Degerfors IF
Gunnar Nordahl,FW,5,6,IFK Norrköping
Knut Nordahl,FW,2,0,IFK Norrköping
Arne Nyberg,FW,6,4,IFK Göteborg
Stig Nyström,FW,1,1,Djurgårdens IF Stockholm
Vincent Persson,FW,1,1,Degerfors IF
"Birger \Bian\"" Rosengren""",MF,1,0,IFK Norrköping
"Carl-Erik \Pigge\"" Sandberg""",FW,1,0,Malmö FF
"Carl \Timpa\"" Simonsson""",FW,1,0,Jönköpings Södra IF
"Gustav \Gurra\"" Sjöberg""",GK,6,0,AIK Solna
Börje Tapper,FW,1,5,Malmö FF
"Lennart \Skinnet\"" Wigren""",MF,1,0,IFK Norrköping
